name,meal time,main ingredients,Cleaned_Ingredients,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_c_mg,folate_mcg,thiamin_mg,cuisine,Quantities,Units,Ingredients
Simple White Cake,"lunch,dinner","white sugar,butter, eggs , flour , baking powder, milk","white sugar,butter,egg,vanilla,flour, baking powder,milk",https://www.allrecipes.com/recipe/17481/simple-white-cake/,desserts,SCOTTOSMAN,"This cake was sent home from our children's school. It is the simplest, great tasting cake I've ever made. Great to make with the kids, especially for cupcakes.",4.22,4065,3263,1 cup white sugar ; ½ cup butter ; 2  eggs ; 2 teaspoons vanilla extract ; 1 ½ cups all-purpose flour ; 1 ¾ teaspoons baking powder ; ½ cup milk,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x9 inch pan or line a muffin pan with paper liners. In a medium bowl, cream together the sugar and butter. Beat in the eggs, one at a time, then stir in the vanilla. Combine flour and baking powder, add to the creamed mixture and mix well. Finally stir in the milk until batter is smooth. Pour or spoon batter into the prepared pan. Bake for 30 to 40 minutes in the preheated oven. For cupcakes, bake 20 to 25 minutes. Cake is done when it springs back to the touch.",20 mins,30 mins,50 mins,12,12 cupcakes or 1- 9x9 inch pan,208.6,29.4,17.3,8.9,5.3,52.1,3.1,0.4,141.8,79.7,60.6,1.0,6.0,46.9,296.2,1.6,,33.3,0.1,Middle East,1; ½; 2; 2; 1 ½; 1 ¾; ½,cup; cup; no unit; teaspoons; cups; teaspoons; cup,white sugar; butter; eggs; vanilla extract; all-purpose flour; baking powder; milk
Basic Chicken Salad,"lunch,dinner","lemon juice , black pepper , chicken meat ,celery","mayonnaise,lemon juice , black pepper , chicken meat ,almonds ,celery",https://www.allrecipes.com/recipe/8499/basic-chicken-salad/,salad,Jackie M.,This basic chicken salad is a family favorite. I like to use baked thighs or breasts that have been sprinkled with basil or rosemary.,4.61,759,571,"½ cup mayonnaise ; 1 tablespoon lemon juice ; ¼ teaspoon ground black pepper ; 2 cups chopped, cooked chicken meat ; ½ cup blanched slivered almonds ; 1 stalk celery, chopped","Place almonds in a frying pan. Toast over medium-high heat, shaking frequently. Watch carefully, as they burn easily. In a medium bowl, mix together mayonnaise, lemon juice, and pepper. Toss with chicken, almonds, and celery.",5 mins,5 mins,10 mins,2,2 servings,778.7,8.4,2.2,63.1,9.0,125.9,44.3,2.9,403.0,568.3,99.8,2.8,118.0,571.7,281.1,23.8,4.1,25.7,0.1,Middle East,½; 1; ¼; 2; ½; 1,cup; tablespoon; teaspoon; cups; cup; no unit,"mayonnaise; lemon juice; ground black pepper; chopped, cooked chicken meat; blanched slivered almonds; stalk celery, chopped"
Microwave Chocolate Mug Cake,"lunch,dinner","flour , white sugar, cocoa powder, baking soda, salt, milk , canola oil , water , vanilla "," flour , white sugar, cocoa powder, baking soda, salt, milk , canola oil , water , vanilla ",https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/,desserts,safinabakes1231,This is my own version of the chocolate microwave mug cake. This chocolaty fudgy treat is truly decadent and great for nights when I need a yummy dessert that is ready in less than 10 minutes! Chocolate chips make this recipe even better.,4.48,1642,1192,¼ cup all-purpose flour ; ¼ cup white sugar ; 2 tablespoons unsweetened cocoa powder ; ⅛ teaspoon baking soda ; ⅛ teaspoon salt ; 3 tablespoons milk ; 2 tablespoons canola oil ; 1 tablespoon water ; ¼ teaspoon vanilla extract,"Mix flour, sugar, cocoa powder, baking soda, and salt in a large microwave-safe mug; stir in milk, canola oil, water, and vanilla extract. Cook in microwave until cake is done in the middle, about 1 minute 45 seconds.",5 mins,2 mins,7 mins,1,1 cake,603.1,82.0,52.5,30.4,3.2,3.7,6.9,4.4,470.2,273.8,73.3,3.0,66.1,269.5,86.5,3.6,0.1,62.9,0.3,Middle East,¼; ¼; 2; ⅛; ⅛; 3; 2; 1; ¼,cup; cup; tablespoons; teaspoon; teaspoon; tablespoons; tablespoons; tablespoon; teaspoon,all-purpose flour; white sugar; unsweetened cocoa powder; baking soda; salt; milk; canola oil; water; vanilla extract
Lebanese Fattoush,"lunch,dinner","lettuce,radishes,cucumber,red bell pepper, tomato,onion, garlic, parsley,mint,olive oil,pomegranate syrup"," lettuce, cabbage,radishes,cucumber,red bell pepper,carrot, corn , tomato,onion, garlic, parsley,mint,olive oil,pomegranate ,pomegranate syrup, bread,vegetable oil",https://www.allrecipes.com/recipe/149752/lebanese-fattoush/,salad,3azza,"Fattoush is a flavorful, rich, and healthy Lebanese salad. Pomegranate adds a sweet-and-sour flavor. Yummy!",3.36,14,7,"6  lettuce leaves, chopped ; 3  cabbage leaves, chopped ; 2 small radishes, minced ; 1 medium cucumber, diced ; 1  red bell pepper, minced ; 1  carrot, shredded ; ¼ cup sweet corn kernels ; 1 large tomato, finely diced ; 1 small onion, sliced thin ; 2 large cloves garlic, crushed ; 12 sprigs parsley, minced ; 12  mint leaves, minced ; ¼ cup olive oil ; ¼ cup pomegranate seeds  (Optional); ¼ cup pomegranate syrup ; 2 (6 inch) pita bread rounds  (Optional); 2 cups vegetable oil for frying  (Optional)","Toss together the lettuce, cabbage, radish, cucumber, red bell pepper, carrot, corn, tomato, onion, garlic, parsley, mint, olive oil, pomegranate seeds, and pomegranate syrup in a large bowl. Heat oil in a deep-fryer or saucepan to 350 degrees F (175 degrees C). Fry the pita breads until golden in color. Remove to cool on paper towels. Crush the bread into small pieces; sprinkle over the salad.",1 hr,,1 hr,6,6 servings,257.3,23.5,6.6,17.3,2.3,,4.8,4.5,137.6,155.9,120.6,4.5,51.0,644.6,7440.9,3.2,114.3,138.5,0.2,Lebanese,6; 3; 2; 1; 1; 1; ¼; 1; 1; 2; 12; 12; ¼; ¼; ¼; 2 (6 inch); 2,no unit; no unit; no unit; no unit; no unit; no unit; cup; no unit; no unit; large cloves; no unit; no unit; cup; cup; cup; no unit; cups,"lettuce leaves, chopped; cabbage leaves, chopped; small radishes, minced; medium cucumber, diced; red bell pepper, minced; carrot, shredded; sweet corn kernels; large tomato, finely diced; small onion, sliced thin; garlic, crushed; sprigs parsley, minced; mint leaves, minced; olive oil; pomegranate seeds  (Optional); pomegranate syrup; pita bread rounds  (Optional); vegetable oil for frying  (Optional)"
Al Kabsa - Traditional Saudi Rice and Chicken,lunch,"saffron ,cardamom,cinnamon , allspice ,white pepper,butter,onion,chicken,tomatoes,salt,black pepper,rice","saffron ,cardamom,cinnamon , allspice ,white pepper,lime powder ,butter,onion,garlic,chicken,tomato puree,tomatoes,carrots,cloves nutmeg,cumin ,coriander,salt,black pepper , water , chicken bouillon ,rice,raisins, almonds",https://www.allrecipes.com/recipe/216889/al-kabsa-traditional-saudi-rice-and-chicken/,meat-and-poultry,EmiratiWife2010,"This was the first Arabic dish I ever made and it turned out extremely delicious, a new favorite! Serve Al Kabsa with a fresh mixed cucumber, carrot, lettuce, and tomato salad -- preferably with a little lime vinaigrette. Some fresh pita bread on the side would be nice also. Saudis like their Kabsa with a hot sauce called 'Shattah'. Enjoy!",4.51,51,35,"½ teaspoon saffron ; ¼ teaspoon ground cardamom ; ½ teaspoon ground cinnamon ; ½ teaspoon ground allspice ; ¼ teaspoon ground white pepper ; ½ teaspoon dried whole lime powder ; ¼ cup butter ; 1  onion, finely chopped ; 6 cloves garlic, minced ; 1 (3 pound) whole chicken, cut into 8 pieces ; ¼ cup tomato puree ; 1 (14.5 ounce) can diced tomatoes, undrained ; 3  carrots, peeled and grated ; 2  whole cloves ; 1 pinch ground nutmeg ; 1 pinch ground cumin ; 1 pinch ground coriander ;   salt and freshly ground black pepper to taste ; 3 ¼ cups hot water ; 1 cube chicken bouillon ; 2 ¼ cups unrinsed basmati rice ; ¼ cup raisins ; ¼ cup toasted slivered almonds","Mix together the saffron, cardamom, cinnamon, allspice, white pepper, and lime powder in a small bowl, and set the spice mix aside. Melt the butter in a large stock pot or Dutch oven over medium heat. Stir in the garlic and onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Add the chicken pieces and brown them over medium-high heat until lightly browned, about 10 minutes. Mix in the tomato puree. Stir in the canned tomatoes with their juice, the grated carrots, whole cloves, nutmeg, cumin, coriander, salt, black pepper, and the Kabsa spice mix. Cook for about 3 minutes; pour in the water,  and add the chicken bouillon cube. Bring the sauce to a boil, then reduce the heat to simmer and cover the pot. Simmer until chicken is no longer pink and the juices run clear, about 30 minutes. Gently stir in the rice. Cover the pot and simmer until rice is tender and almost dry, about 25 minutes; add the raisins and a little more hot water, if necessary. Cover and cook for an additional 5 to 10 minutes or until the rice grains are separate. Transfer the rice to a large serving platter and arrange the chicken pieces on top. Sprinkle the toasted slivered almonds over the dish.",40 mins,1 hr 30 mins,2 hrs 10 mins,8,8 servings,528.2,54.9,7.3,21.2,7.6,88.0,29.2,3.0,422.7,190.9,59.2,2.4,41.8,432.1,4320.2,7.9,12.5,17.8,0.1,Middle East,½; ¼; ½; ½; ¼; ½; ¼; 1; 6; 1 (3 pound); ¼; 1; 3; 2; 1; 1; 1; no quantity; 3 ¼; 1; 2 ¼; ¼; ¼,teaspoon; teaspoon; teaspoon; teaspoon; teaspoon; teaspoon; cup; no unit; cloves; no unit; cup; no unit; no unit; no unit; pinch; pinch; pinch; no unit; cups; no unit; cups; cup; cup,"saffron; ground cardamom; ground cinnamon; ground allspice; ground white pepper; dried whole lime powder; butter; onion, finely chopped; garlic, minced; whole chicken, cut into 8 pieces; tomato puree; (14.5 ounce) can diced tomatoes, undrained; carrots, peeled and grated; whole cloves; ground nutmeg; ground cumin; ground coriander; salt and freshly ground black pepper to taste; hot water; cube chicken bouillon; unrinsed basmati rice; raisins; toasted slivered almonds"
Easy and Delicious Chicken and Rice Casserole,dinner,"rice,cream of chicken soup ,water,onion soup,chicken breast","rice,cream of chicken soup ,water,onion soup,chicken breast",https://www.allrecipes.com/recipe/8895/easy-and-delicious-chicken-and-rice-casserole/,meat-and-poultry,J. Saunders,This recipe is so easy to make. Just cover with foil and bake! This is really nice to make before going to church or even put in a slow cooker before work. Yum!,3.93,580,450,"1 cup uncooked white rice ; 1 (10.75 ounce) can  condensed cream of chicken soup ; 1 ⅞ cups water ; 1 (1 ounce) package dry onion soup mix ; 4  skinless, boneless chicken breast halves",Preheat oven to 350 degrees F (175 degrees C). Spread rice in the bottom of a 9x13 inch baking dish. Rinse chicken and pat dry; arrange chicken pieces on top of rice. Mix soup and water together and pour over  . Sprinkle dry onion soup mix on top. Cover and seal TIGHTLY with foil. Bake in the preheated oven for 1 to 1 1/2 hours. Enjoy!,,,,5,4 to 6 servings,314.1,38.8,0.8,5.0,1.4,59.6,26.2,0.9,958.8,45.2,36.9,3.1,43.4,305.0,130.8,17.9,1.9,95.1,0.3,Middle East,1; 1; 1; 1 (1 ounce); 4,cup; no unit; no unit; package; no unit,"uncooked white rice; (10.75 ounce) can  condensed cream of chicken soup; ⅞ cups water; dry onion soup mix; skinless, boneless chicken breast halves"
Cuban Marinated Steak,"lunch,dinner","cumin,vegetable oil,steak seasoning,lime juice,oregano, steaks","cumin,orange juice,vegetable oil,steak seasoning,lime juice,oregano, steaks",https://www.allrecipes.com/recipe/232415/cuban-marinated-steak/,world-cuisine,Michael Batt,This Latin-inspired steak pairs perfectly with rice and beans. Slice leftovers really thin and serve on crusty day-old rolls for an amazing lunch or snack afterwards.,4.67,138,104,½ teaspoon cumin seeds ; ¼ cup orange juice ; 2 tablespoons vegetable oil ; 2 tablespoons Montreal-style steak seasoning ; 2 ¼ teaspoons lime juice ; 1 ½ teaspoons dried oregano ; 1 ½ pounds beef rib-eye steaks,"Place cumin seeds into a small skillet over medium heat; stir constantly until seeds turn dark brown and smell toasted, about 1 minute. Immediately pour seeds into a bowl to stop the cooking. Mix cumin seeds with orange juice, vegetable oil, steak seasoning, lime juice, and oregano in a bowl. Place steaks into a large resealable plastic bag, pour orange juice marinade over the meat, and squeeze out air. Seal bag and turn it over several times to coat meat with marinade. Refrigerate at least 30 minutes, or longer for extra flavor. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove steaks from marinade, shaking off any excess. Discard used marinade. Grill steaks on the preheated grill until seared on the outsides and still slightly pink in the centers, 6 to 8 minutes per side. An instant-read meat thermometer inserted sideways into the center of the thickest steak should read 145 degrees F (65 degrees C). Let steaks rest for 3 minutes before slicing.",15 mins,15 mins,1 hr 5 mins,4,4 servings,245.3,3.9,1.4,15.8,4.4,59.4,21.2,0.5,1428.4,142.6,51.5,2.6,27.3,371.7,74.6,7.6,9.4,12.8,0.1,Middle East,½; ¼; 2; 2; 2 ¼; 1 ½; 1 ½,teaspoon; cup; tablespoons; tablespoons; teaspoons; teaspoons; pounds,cumin seeds; orange juice; vegetable oil; Montreal-style steak seasoning; lime juice; dried oregano; beef rib-eye steaks
Lebanese Chicken and Potatoes,"lunch,dinner","chicken,potatoes,garlic,olive oil,lemon juice","chicken,potatoes,salt,white pepper,garlic,olive oil,lemon juice",https://www.allrecipes.com/recipe/89833/lebanese-chicken-and-potatoes/,world-cuisine,guyworldwide,"A traditional Lebanese dish of baked chicken and potatoes, which I learned from my mum. Unbelievably simple, but ever so delicious.",4.14,285,215,"8  cut up chicken pieces ; 8  medium potatoes, peeled and quartered ;   salt to taste ;   ground white pepper to taste ; 4 cloves garlic, crushed ; ½ cup extra virgin olive oil ; 1 cup fresh lemon juice","Preheat oven to 425 degrees F (220 degrees C). Place chicken and potatoes in a large baking dish. Season generously with salt and white pepper. In a bowl, stir together garlic, olive oil, and lemon juice. Pour over chicken and potatoes. Cover dish with foil. Bake in preheated oven for 30 minutes. Remove foil, increase heat to 475 degrees F (245 degrees C), and cook until chicken and potatoes are golden, about 30 minutes.",15 mins,1 hr,1 hr 15 mins,6,6 servings,592.5,53.9,3.2,30.5,5.9,65.5,26.7,6.5,80.7,274.3,51.3,3.4,85.6,1436.0,85.5,10.9,75.3,55.1,0.3,Lebanese,8; 8; no quantity; no quantity; 4; ½; 1,no unit; no unit; no unit; no unit; cloves; cup; cup,"cut up chicken pieces; medium potatoes, peeled and quartered; salt to taste; ground white pepper to taste; garlic, crushed; extra virgin olive oil; fresh lemon juice"
Chicken Shawarma,"lunch,dinner","vinegar ,yogurt,vegetable oil,salt,pepper ,spice,cardamom ,chicken thighs,tahini ,yogurt,garlic,lemon juice,olive oil,parsley,salt,pepper ,tomatoes,onion,lettuce,bread","vinegar ,yogurt,vegetable oil,salt,pepper ,spice,cardamom ,chicken thighs,tahini ,yogurt,garlic,lemon juice,olive oil,parsley,salt,pepper ,tomatoes,onion,lettuce,bread",https://www.allrecipes.com/recipe/52407/chicken-shawarma/,world-cuisine,Wendy,Awesome Lebanese sandwich served in most Lebanese restaurants. Can be served with Tahini sauce or Toum.,3.89,71,48,"½ cup malt vinegar ; ¼ cup plain yogurt ; 1 tablespoon vegetable oil ;   salt and pepper to taste ; 1 teaspoon mixed spice ; ¼ teaspoon freshly ground cardamom ; 8  skinless, boneless chicken thighs ; ½ cup tahini ; ¼ cup plain yogurt ; ½ teaspoon minced garlic ; 2 tablespoons lemon juice ; 1 tablespoon olive oil ; 1 tablespoon chopped fresh parsley ;   salt and pepper to taste ; 4 medium tomatoes, thinly sliced ; ½ cup sliced onion ; 4 cups shredded lettuce ; 8  pita bread rounds","In a glass baking dish, mix together the malt vinegar, 1/4 cup yogurt, vegetable oil, mixed spice, cardamom, salt and pepper. Place the chicken thighs into the mixture and turn to coat. Cover and marinate in the refrigerator for at least 4 hours or overnight. Preheat the oven to 350 degrees F (175 degrees C). In a small bowl, mix together the tahini, 1/4 cup yogurt, garlic, lemon juice, olive oil, and parsley. Season with salt and pepper, taste, and adjust flavors if desired. Cover and refrigerate. Cover the chicken and bake in the marinade for 30 minutes, turning once. Uncover, and cook for an additional 5 to 10 minutes, or until chicken is browned and cooked through. Remove from the dish, and cut into slices. Place sliced chicken, tomato, onion, and lettuce onto pita breads. Roll up, and top with the tahini sauce.",10 mins,40 mins,4 hrs 50 mins,8,8 servings,402.2,44.0,5.1,15.2,2.6,58.2,23.3,4.0,420.3,137.2,168.2,4.1,59.6,554.0,754.9,13.2,13.6,107.8,0.7,Lebanese,½; ¼; 1; no quantity; 1; ¼; 8; ½; ¼; ½; 2; 1; 1; no quantity; 4; ½; 4; 8,cup; cup; tablespoon; no unit; teaspoon; teaspoon; no unit; cup; cup; teaspoon; tablespoons; tablespoon; tablespoon; no unit; no unit; cup; cups; no unit,"malt vinegar; plain yogurt; vegetable oil; salt and pepper to taste; mixed spice; freshly ground cardamom; skinless, boneless chicken thighs; tahini; plain yogurt; minced garlic; lemon juice; olive oil; chopped fresh parsley; salt and pepper to taste; medium tomatoes, thinly sliced; sliced onion; shredded lettuce; pita bread rounds"
Kibbee Lebanese Style,"lunch,dinner","bulgur,allspice,black pepper,salt,onion,parsley,lamb","bulgur,water,mint,allspice,black pepper,cinnamon,salt,onion,parsley,lamb,pine",https://www.allrecipes.com/recipe/201182/kibbee-lebanese-style/,world-cuisine,MikeP,"Simple Lebanese style lamb kibbee. It's a traditional basic recipe. Kibbee is to Middle Eastern cooking what a meatball is to Italian cooking. If you can not make it, stay out of the kitchen. I am not Lebanese by the way, but worked for 2 decades in a restaurant serving this type of food. I am actually Ukrainian.",4.55,20,16,"½ cup bulgur ; ½ cup hot water ; ½ teaspoon dried mint ; ¼ teaspoon ground allspice ; ¼ teaspoon ground black pepper ; ⅛ teaspoon ground cinnamon ; ¼ teaspoon salt ; 1  onion, minced ; 2 tablespoons chopped fresh parsley ; 1 pound ground lamb ; 2 tablespoons pine nuts","Preheat an oven to 350 degrees F (175 degrees C). Grease an 8 inch square baking dish. Soak bulgur in hot water until the bulgur expands and cools, about 10 minutes. Place the bulgur, mint, allspice, pepper, cinnamon, salt, onion, parsley, and lamb in a food processor. Process until well mixed, about 1 minute. Divide the lamb mixture and layer half in the baking dish, creating a large patty. Sprinkle pine nuts over the meat, then layer the remaining lamb on top, patting firmly. Cut the kibbee into 1 1/2 inch squares. Bake in the preheated oven until the lamb is no longer pink in the middle, 30 to 35 minutes. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).",15 mins,30 mins,45 mins,4,4 servings,416.9,16.8,1.4,29.0,12.0,82.9,22.4,4.0,218.9,261.4,38.3,2.9,67.4,404.7,169.2,12.4,4.7,36.1,0.2,Lebanese,½; ½; ½; ¼; ¼; ⅛; ¼; 1; 2; 1; 2,cup; cup; teaspoon; teaspoon; teaspoon; teaspoon; teaspoon; no unit; tablespoons; pound; tablespoons,"bulgur; hot water; dried mint; ground allspice; ground black pepper; ground cinnamon; salt; onion, minced; chopped fresh parsley; ground lamb; pine nuts"
