,name,meal time,main ingredients,Cleaned_Ingredients,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_c_mg,folate_mcg,thiamin_mg,cuisine,Quantities,Units,Ingredients,image_url
0,Simple White Cake,"lunch,dinner","white sugar, egg , flour, milk","white sugar,butter,egg,vanilla,flour, baking powder,milk",https://www.allrecipes.com/recipe/17481/simple-white-cake/,desserts,SCOTTOSMAN,"This cake was sent home from our children's school. It is the simplest, great tasting cake I've ever made. Great to make with the kids, especially for cupcakes.",4.22,4065,3263,1 cup white sugar ; ½ cup butter ; 2  eggs ; 2 teaspoons vanilla extract ; 1 ½ cups all-purpose flour ; 1 ¾ teaspoons baking powder ; ½ cup milk,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x9 inch pan or line a muffin pan with paper liners. In a medium bowl, cream together the sugar and butter. Beat in the eggs, one at a time, then stir in the vanilla. Combine flour and baking powder, add to the creamed mixture and mix well. Finally stir in the milk until batter is smooth. Pour or spoon batter into the prepared pan. Bake for 30 to 40 minutes in the preheated oven. For cupcakes, bake 20 to 25 minutes. Cake is done when it springs back to the touch.",20 mins,30 mins,50 mins,12,12 cupcakes or 1- 9x9 inch pan,208,29,17,8,5,52,3,0,141,79,60,1,6,46,296,1,0,33,0,Middle East,"[1.0, 0.5, 2.0, 2.0, 1.5, 1.75, 0.5]","['cup', ' cup', ' no unit', ' teaspoons', ' cups', ' teaspoons', ' cup']","['white sugar', ' butter', ' eggs', ' vanilla extract', ' all-purpose flour', ' baking powder', ' milk']",AAA
1,Basic Chicken Salad,"lunch,dinner"," chicken,celery","mayonnaise,lemon juice , black pepper , chicken ,almonds ,celery",https://www.allrecipes.com/recipe/8499/basic-chicken-salad/,salad,Jackie M.,This basic chicken salad is a family favorite. I like to use baked thighs or breasts that have been sprinkled with basil or rosemary.,4.61,759,571,"½ cup mayonnaise ; 1 tablespoon lemon juice ; ¼ teaspoon ground black pepper ; 2 cups chopped, cooked chicken meat ; ½ cup blanched slivered almonds ; 1 stalk celery, chopped","Place almonds in a frying pan. Toast over medium-high heat, shaking frequently. Watch carefully, as they burn easily. In a medium bowl, mix together mayonnaise, lemon juice, and pepper. Toss with chicken, almonds, and celery.",5 mins,5 mins,10 mins,2,2 servings,778,8,2,63,9,125,44,2,403,568,99,2,118,571,281,23,4,25,0,Middle East,"[0.5, 1.0, 0.25, 2.0, 0.5, 1.0]","['cup', ' tablespoon', ' teaspoon', ' cups', ' cup', ' no unit']","['mayonnaise', ' lemon juice', ' ground black pepper', ' chopped, cooked chicken meat', ' blanched slivered almonds', ' stalk celery, chopped']",AAA
2,Microwave Chocolate Mug Cake,"lunch,dinner","flour ,white sugar, milk"," flour , white sugar, cocoa powder, baking soda, salt, milk , canola oil , water , vanilla ",https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/,desserts,safinabakes1231,This is my own version of the chocolate microwave mug cake. This chocolaty fudgy treat is truly decadent and great for nights when I need a yummy dessert that is ready in less than 10 minutes! Chocolate chips make this recipe even better.,4.48,1642,1192,¼ cup all-purpose flour ; ¼ cup white sugar ; 2 tablespoons unsweetened cocoa powder ; ⅛ teaspoon baking soda ; ⅛ teaspoon salt ; 3 tablespoons milk ; 2 tablespoons canola oil ; 1 tablespoon water ; ¼ teaspoon vanilla extract,"Mix flour, sugar, cocoa powder, baking soda, and salt in a large microwave-safe mug; stir in milk, canola oil, water, and vanilla extract. Cook in microwave until cake is done in the middle, about 1 minute 45 seconds.",5 mins,2 mins,7 mins,1,1 cake,603,82,52,30,3,3,6,4,470,273,73,3,66,269,86,3,0,62,0,Middle East,"[0.25, 0.25, 2.0, 0.125, 0.125, 3.0, 2.0, 1.0, 0.25]","['cup', ' cup', ' tablespoons', ' teaspoon', ' teaspoon', ' tablespoons', ' tablespoons', ' tablespoon', ' teaspoon']","['all-purpose flour', ' white sugar', ' unsweetened cocoa powder', ' baking soda', ' salt', ' milk', ' canola oil', ' water', ' vanilla extract']",AAA
3,Lebanese Fattoush,"lunch,dinner","cucumber, tomato, parsley,mint"," lettuce,cucumber, tomato,onion, parsley,mint,olive oil,pomegranate, bread",https://www.allrecipes.com/recipe/149752/lebanese-fattoush/,salad,3azza,"Fattoush is a flavorful, rich, and healthy Lebanese salad. Pomegranate adds a sweet-and-sour flavor. Yummy!",3.36,14,7,"6  lettuce leaves, chopped ; 3  cabbage leaves, chopped ; 2 small radishes, minced ; 1 medium cucumber, diced ; 1  red bell pepper, minced ; 1  carrot, shredded ; ¼ cup sweet corn kernels ; 1 large tomato, finely diced ; 1 small onion, sliced thin ; 2 large cloves garlic, crushed ; 12 sprigs parsley, minced ; 12  mint leaves, minced ; ¼ cup olive oil ; ¼ cup pomegranate seeds  (Optional); ¼ cup pomegranate syrup ; 2 (6 inch) pita bread rounds  (Optional); 2 cups vegetable oil for frying  (Optional)","Toss together the lettuce, cabbage, radish, cucumber, red bell pepper, carrot, corn, tomato, onion, garlic, parsley, mint, olive oil, pomegranate seeds, and pomegranate syrup in a large bowl. Heat oil in a deep-fryer or saucepan to 350 degrees F (175 degrees C). Fry the pita breads until golden in color. Remove to cool on paper towels. Crush the bread into small pieces; sprinkle over the salad.",1 hr,0 min,1 hr,6,6 servings,257,23,6,17,2,0,4,4,137,155,120,4,51,644,7440,3,114,138,0,Lebanese,"[6.0, 3.0, 2.0, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0, 2.0, 12.0, 12.0, 0.25, 0.25, 0.25, 2.0, 2.0]","['no unit', ' no unit', ' no unit', ' no unit', ' no unit', ' no unit', ' cup', ' no unit', ' no unit', ' large cloves', ' no unit', ' no unit', ' cup', ' cup', ' cup', ' no unit', ' cups']","['lettuce leaves, chopped', ' cabbage leaves, chopped', ' small radishes, minced', ' medium cucumber, diced', ' red bell pepper, minced', ' carrot, shredded', ' sweet corn kernels', ' large tomato, finely diced', ' small onion, sliced thin', ' garlic, crushed', ' sprigs parsley, minced', ' mint leaves, minced', ' olive oil', ' pomegranate seeds  (Optional)', ' pomegranate syrup', ' pita bread rounds  (Optional)', ' vegetable oil for frying  (Optional)']",AAA
4,Al Kabsa - Traditional Saudi Rice and Chicken,lunch,"chicken,tomato,rice","saffron, allspice,onion,chicken,tomato, chicken ,rice, almonds",https://www.allrecipes.com/recipe/216889/al-kabsa-traditional-saudi-rice-and-chicken/,meat-and-poultry,EmiratiWife2010,"This was the first Arabic dish I ever made and it turned out extremely delicious, a new favorite! Serve Al Kabsa with a fresh mixed cucumber, carrot, lettuce, and tomato salad -- preferably with a little lime vinaigrette. Some fresh pita bread on the side would be nice also. Saudis like their Kabsa with a hot sauce called 'Shattah'. Enjoy!",4.51,51,35,"½ teaspoon saffron ; ¼ teaspoon ground cardamom ; ½ teaspoon ground cinnamon ; ½ teaspoon ground allspice ; ¼ teaspoon ground white pepper ; ½ teaspoon dried whole lime powder ; ¼ cup butter ; 1  onion, finely chopped ; 6 cloves garlic, minced ; 1 (3 pound) whole chicken, cut into 8 pieces ; ¼ cup tomato puree ; 1 (14.5 ounce) can diced tomatoes, undrained ; 3  carrots, peeled and grated ; 2  whole cloves ; 1 pinch ground nutmeg ; 1 pinch ground cumin ; 1 pinch ground coriander ;   salt and freshly ground black pepper to taste ; 3 ¼ cups hot water ; 1 cube chicken bouillon ; 2 ¼ cups unrinsed basmati rice ; ¼ cup raisins ; ¼ cup toasted slivered almonds","Mix together the saffron, cardamom, cinnamon, allspice, white pepper, and lime powder in a small bowl, and set the spice mix aside. Melt the butter in a large stock pot or Dutch oven over medium heat. Stir in the garlic and onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Add the chicken pieces and brown them over medium-high heat until lightly browned, about 10 minutes. Mix in the tomato puree. Stir in the canned tomatoes with their juice, the grated carrots, whole cloves, nutmeg, cumin, coriander, salt, black pepper, and the Kabsa spice mix. Cook for about 3 minutes; pour in the water,  and add the chicken bouillon cube. Bring the sauce to a boil, then reduce the heat to simmer and cover the pot. Simmer until chicken is no longer pink and the juices run clear, about 30 minutes. Gently stir in the rice. Cover the pot and simmer until rice is tender and almost dry, about 25 minutes; add the raisins and a little more hot water, if necessary. Cover and cook for an additional 5 to 10 minutes or until the rice grains are separate. Transfer the rice to a large serving platter and arrange the chicken pieces on top. Sprinkle the toasted slivered almonds over the dish.",40 mins,1 hr 30 mins,2 hrs 10 mins,8,8 servings,528,54,7,21,7,88,29,3,422,190,59,2,41,432,4320,7,12,17,0,Middle East,"[0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.25, 1.0, 6.0, 1.0, 0.25, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 0.0, 3.25, 1.0, 2.25, 0.25, 0.25]","['teaspoon', ' teaspoon', ' teaspoon', ' teaspoon', ' teaspoon', ' teaspoon', ' cup', ' no unit', ' cloves', ' no unit', ' cup', ' no unit', ' no unit', ' no unit', ' pinch', ' pinch', ' pinch', ' no unit', ' cups', ' no unit', ' cups', ' cup', ' cup']","['saffron', ' ground cardamom', ' ground cinnamon', ' ground allspice', ' ground white pepper', ' dried whole lime powder', ' butter', ' onion, finely chopped', ' garlic, minced', ' whole chicken, cut into 8 pieces', ' tomato puree', ' (14.5 ounce) can diced tomatoes, undrained', ' carrots, peeled and grated', ' whole cloves', ' ground nutmeg', ' ground cumin', ' ground coriander', ' salt and freshly ground black pepper to taste', ' hot water', ' cube chicken bouillon', ' unrinsed basmati rice', ' raisins', ' toasted slivered almonds']",AAA
5,Easy and Delicious Chicken and Rice Casserole,dinner,"rice,cream of chicken soup ,chicken","rice,cream of chicken soup,onion soup,chicken",https://www.allrecipes.com/recipe/8895/easy-and-delicious-chicken-and-rice-casserole/,meat-and-poultry,J. Saunders,This recipe is so easy to make. Just cover with foil and bake! This is really nice to make before going to church or even put in a slow cooker before work. Yum!,3.93,580,450,"1 cup uncooked white rice ; 1 (10.75 ounce) can  condensed cream of chicken soup ; 1 ⅞ cups water ; 1 (1 ounce) package dry onion soup mix ; 4  skinless, boneless chicken breast halves",Preheat oven to 350 degrees F (175 degrees C). Spread rice in the bottom of a 9x13 inch baking dish. Rinse chicken and pat dry; arrange chicken pieces on top of rice. Mix soup and water together and pour over  . Sprinkle dry onion soup mix on top. Cover and seal TIGHTLY with foil. Bake in the preheated oven for 1 to 1 1/2 hours. Enjoy!,30 mins,1 hr,1 hr 30 mins,5,4 to 6 servings,314,38,0,5,1,59,26,0,958,45,36,3,43,305,130,17,1,95,0,Middle East,"[1.0, 1.0, 1.0, 1.0, 4.0]","['cup', ' no unit', ' no unit', ' package', ' no unit']","['uncooked white rice', ' (10.75 ounce) can  condensed cream of chicken soup', ' ⅞ cups water', ' dry onion soup mix', ' skinless, boneless chicken breast halves']",AAA
6,Cuban Marinated Steak,"lunch,dinner","cumin,oregano, steaks","cumin,vegetable oil,steak seasoning,lemon juice,oregano, steak",https://www.allrecipes.com/recipe/232415/cuban-marinated-steak/,world-cuisine,Michael Batt,This Latin-inspired steak pairs perfectly with rice and beans. Slice leftovers really thin and serve on crusty day-old rolls for an amazing lunch or snack afterwards.,4.67,138,104,½ teaspoon cumin seeds ; ¼ cup orange juice ; 2 tablespoons vegetable oil ; 2 tablespoons Montreal-style steak seasoning ; 2 ¼ teaspoons lime juice ; 1 ½ teaspoons dried oregano ; 1 ½ pounds beef rib-eye steaks,"Place cumin seeds into a small skillet over medium heat; stir constantly until seeds turn dark brown and smell toasted, about 1 minute. Immediately pour seeds into a bowl to stop the cooking. Mix cumin seeds with orange juice, vegetable oil, steak seasoning, lime juice, and oregano in a bowl. Place steaks into a large resealable plastic bag, pour orange juice marinade over the meat, and squeeze out air. Seal bag and turn it over several times to coat meat with marinade. Refrigerate at least 30 minutes, or longer for extra flavor. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove steaks from marinade, shaking off any excess. Discard used marinade. Grill steaks on the preheated grill until seared on the outsides and still slightly pink in the centers, 6 to 8 minutes per side. An instant-read meat thermometer inserted sideways into the center of the thickest steak should read 145 degrees F (65 degrees C). Let steaks rest for 3 minutes before slicing.",15 mins,15 mins,1 hr 5 mins,4,4 servings,245,3,1,15,4,59,21,0,1428,142,51,2,27,371,74,7,9,12,0,Middle East,"[0.5, 0.25, 2.0, 2.0, 2.25, 1.5, 1.5]","['teaspoon', ' cup', ' tablespoons', ' tablespoons', ' teaspoons', ' teaspoons', ' pounds']","['cumin seeds', ' orange juice', ' vegetable oil', ' Montreal-style steak seasoning', ' lime juice', ' dried oregano', ' beef rib-eye steaks']",AAA
7,Lebanese Chicken and Potatoes,"lunch,dinner","chicken,potato,garlic,lemon juice","chicken,potato,garlic,olive oil,lemon juice,spice",https://www.allrecipes.com/recipe/89833/lebanese-chicken-and-potatoes/,world-cuisine,guyworldwide,"A traditional Lebanese dish of baked chicken and potatoes, which I learned from my mum. Unbelievably simple, but ever so delicious.",4.14,285,215,"8  cut up chicken pieces ; 8  medium potatoes, peeled and quartered ;   salt to taste ;   ground white pepper to taste ; 4 cloves garlic, crushed ; ½ cup extra virgin olive oil ; 1 cup fresh lemon juice","Preheat oven to 425 degrees F (220 degrees C). Place chicken and potatoes in a large baking dish. Season generously with salt and white pepper. In a bowl, stir together garlic, olive oil, and lemon juice. Pour over chicken and potatoes. Cover dish with foil. Bake in preheated oven for 30 minutes. Remove foil, increase heat to 475 degrees F (245 degrees C), and cook until chicken and potatoes are golden, about 30 minutes.",15 mins,1 hr,1 hr 15 mins,6,6 servings,592,53,3,30,5,65,26,6,80,274,51,3,85,1436,85,10,75,55,0,Lebanese,"[8.0, 8.0, 0.0, 0.0, 4.0, 0.5, 1.0]","['no unit', ' no unit', ' no unit', ' no unit', ' cloves', ' cup', ' cup']","['cut up chicken pieces', ' medium potatoes, peeled and quartered', ' salt to taste', ' ground white pepper to taste', ' garlic, crushed', ' extra virgin olive oil', ' fresh lemon juice']",AAA
8,Chicken Shawarma,"lunch,dinner","yogurt,chicken,tahini,tomato","vinegar,yogurt,spice,chicken,tahini,garlic,lemon juice",https://www.allrecipes.com/recipe/52407/chicken-shawarma/,world-cuisine,Wendy,Awesome Lebanese sandwich served in most Lebanese restaurants. Can be served with Tahini sauce or Toum.,3.89,71,48,"½ cup malt vinegar ; ¼ cup plain yogurt ; 1 tablespoon vegetable oil ;   salt and pepper to taste ; 1 teaspoon mixed spice ; ¼ teaspoon freshly ground cardamom ; 8  skinless, boneless chicken thighs ; ½ cup tahini ; ¼ cup plain yogurt ; ½ teaspoon minced garlic ; 2 tablespoons lemon juice ; 1 tablespoon olive oil ; 1 tablespoon chopped fresh parsley ;   salt and pepper to taste ; 4 medium tomatoes, thinly sliced ; ½ cup sliced onion ; 4 cups shredded lettuce ; 8  pita bread rounds","In a glass baking dish, mix together the malt vinegar, 1/4 cup yogurt, vegetable oil, mixed spice, cardamom, salt and pepper. Place the chicken thighs into the mixture and turn to coat. Cover and marinate in the refrigerator for at least 4 hours or overnight. Preheat the oven to 350 degrees F (175 degrees C). In a small bowl, mix together the tahini, 1/4 cup yogurt, garlic, lemon juice, olive oil, and parsley. Season with salt and pepper, taste, and adjust flavors if desired. Cover and refrigerate. Cover the chicken and bake in the marinade for 30 minutes, turning once. Uncover, and cook for an additional 5 to 10 minutes, or until chicken is browned and cooked through. Remove from the dish, and cut into slices. Place sliced chicken, tomato, onion, and lettuce onto pita breads. Roll up, and top with the tahini sauce.",10 mins,40 mins,4 hrs 50 mins,8,8 servings,402,44,5,15,2,58,23,4,420,137,168,4,59,554,754,13,13,107,0,Lebanese,"[0.5, 0.25, 1.0, 0.0, 1.0, 0.25, 8.0, 0.5, 0.25, 0.5, 2.0, 1.0, 1.0, 0.0, 4.0, 0.5, 4.0, 8.0]","['cup', ' cup', ' tablespoon', ' no unit', ' teaspoon', ' teaspoon', ' no unit', ' cup', ' cup', ' teaspoon', ' tablespoons', ' tablespoon', ' tablespoon', ' no unit', ' no unit', ' cup', ' cups', ' no unit']","['malt vinegar', ' plain yogurt', ' vegetable oil', ' salt and pepper to taste', ' mixed spice', ' freshly ground cardamom', ' skinless, boneless chicken thighs', ' tahini', ' plain yogurt', ' minced garlic', ' lemon juice', ' olive oil', ' chopped fresh parsley', ' salt and pepper to taste', ' medium tomatoes, thinly sliced', ' sliced onion', ' shredded lettuce', ' pita bread rounds']",AAA
9,Kibbee Lebanese Style,"lunch,dinner","bulgur,onion,lamb","bulgur,mint,allspice,onion,parsley,lamb,pine",https://www.allrecipes.com/recipe/201182/kibbee-lebanese-style/,world-cuisine,MikeP,"Simple Lebanese style lamb kibbee. It's a traditional basic recipe. Kibbee is to Middle Eastern cooking what a meatball is to Italian cooking. If you can not make it, stay out of the kitchen. I am not Lebanese by the way, but worked for 2 decades in a restaurant serving this type of food. I am actually Ukrainian.",4.55,20,16,"½ cup bulgur ; ½ cup hot water ; ½ teaspoon dried mint ; ¼ teaspoon ground allspice ; ¼ teaspoon ground black pepper ; ⅛ teaspoon ground cinnamon ; ¼ teaspoon salt ; 1  onion, minced ; 2 tablespoons chopped fresh parsley ; 1 pound ground lamb ; 2 tablespoons pine nuts","Preheat an oven to 350 degrees F (175 degrees C). Grease an 8 inch square baking dish. Soak bulgur in hot water until the bulgur expands and cools, about 10 minutes. Place the bulgur, mint, allspice, pepper, cinnamon, salt, onion, parsley, and lamb in a food processor. Process until well mixed, about 1 minute. Divide the lamb mixture and layer half in the baking dish, creating a large patty. Sprinkle pine nuts over the meat, then layer the remaining lamb on top, patting firmly. Cut the kibbee into 1 1/2 inch squares. Bake in the preheated oven until the lamb is no longer pink in the middle, 30 to 35 minutes. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).",15 mins,30 mins,45 mins,4,4 servings,416,16,1,29,12,82,22,4,218,261,38,2,67,404,169,12,4,36,0,Lebanese,"[0.5, 0.5, 0.5, 0.25, 0.25, 0.125, 0.25, 1.0, 2.0, 1.0, 2.0]","['cup', ' cup', ' teaspoon', ' teaspoon', ' teaspoon', ' teaspoon', ' teaspoon', ' no unit', ' tablespoons', ' pound', ' tablespoons']","['bulgur', ' hot water', ' dried mint', ' ground allspice', ' ground black pepper', ' ground cinnamon', ' salt', ' onion, minced', ' chopped fresh parsley', ' ground lamb', ' pine nuts']",AAA
